PersonId,LastName,UsedFirstName,PersonRoleId,StartDate,EndDate,PartyEn,OrganizationTypeEn,OrganizationLongEn
18479,Alleslev,Leona,265640,2015-10-19,,Conservative Party of Canada,Constituency,Aurora--Oak Ridges--Richmond Hill
18479,Alleslev,Leona,265640,2015-10-19,,Liberal Party of Canada,Constituency,Aurora--Oak Ridges--Richmond Hill
1319,Allison,David Wright,6308,1883-11-26,1884-12-09,Liberal Party of Canada,Constituency,Lennox
1319,Allison,David Wright,60412,1891-03-05,1892-02-03,Liberal Party of Canada,Constituency,Lennox
7873,Allison,Dean,58328,2004-06-28,2015-10-18,Conservative Party of Canada,Constituency,Niagara West--Glanbrook
7873,Allison,Dean,266089,2015-10-19,,Conservative Party of Canada,Constituency,Niagara West
13869,Allison,William Henry,104118,1878-09-17,1887-02-21,Conservative (1867-1942),Constituency,Hants
12753,Allmand,William Warren,110771,1965-11-08,1984-09-03,Liberal Party of Canada,Constituency,Notre-Dame-de-Grâce
12753,Allmand,William Warren,4277,1984-09-04,1988-11-20,Liberal Party of Canada,Constituency,Notre-Dame-de-Grâce--Lachine East
12753,Allmand,William Warren,62825,1988-11-21,1997-02-24,Liberal Party of Canada,Constituency,Notre-Dame-de-Grâce
2373,Allmark,Benjamin Graydon,25603,1958-03-31,1962-06-17,Progressive Conservative Party,Constituency,Kingston
3866,Almon,William Johnston,119859,1872-10-12,1874-01-21,Liberal-Conservative,Constituency,Halifax
9905,Althouse,Victor Fredrich (Vic),58847,1980-02-18,1988-11-20,New Democratic Party,Constituency,Humboldt--Lake Centre
9905,Althouse,Victor Fredrich (Vic),88424,1988-11-21,1997-06-01,New Democratic Party,Constituency,Mackenzie
17877,Ambler,Stella,162603,2011-05-02,2015-10-18,Conservative Party of Canada,Constituency,Mississauga South
7490,Ambrose,Rona,79310,2004-06-28,2015-10-18,Conservative Party of Canada,Constituency,Edmonton--Spruce Grove
7490,Ambrose,Rona,266067,2015-10-19,2017-07-04,Conservative Party of Canada,Constituency,Sturgeon River--Parkland
13450,Ames,Herbert Brown,81404,1904-11-03,1921-02-14,Conservative (1867-1942),Constituency,St. Antoine
13450,Ames,Herbert Brown,81404,1904-11-03,1921-02-14,Unionist,Constituency,St. Antoine
18585,Amos,William,265980,2015-10-19,,Liberal Party of Canada,Constituency,Pontiac
7828,Amyot,Guillaume,45847,1881-03-19,1896-03-30,Nationalist Conservative,Constituency,Bellechasse
7828,Amyot,Guillaume,45847,1881-03-19,1896-03-30,Nationalist,Constituency,Bellechasse
7828,Amyot,Guillaume,45847,1881-03-19,1896-03-30,Conservative (1867-1942),Constituency,Bellechasse
18538,Anandasangaree,Gary,265829,2015-10-19,,Liberal Party of Canada,Constituency,Scarborough--Rouge Park
7084,Anawak,Jack Iyerak,64023,1988-11-21,1997-04-15,Liberal Party of Canada,Constituency,Nunatsiaq
16591,Anders,Rob,48988,1997-06-02,2015-10-18,Canadian Reform Conservative Alliance,Constituency,Calgary West
16591,Anders,Rob,48988,1997-06-02,2015-10-18,Conservative Party of Canada,Constituency,Calgary West
16591,Anders,Rob,48988,1997-06-02,2015-10-18,Reform Party of Canada,Constituency,Calgary West
9980,Anderson,Alexander James,82661,1925-10-29,1935-10-13,Conservative (1867-1942),Constituency,Toronto--High Park
9980,Anderson,Alexander James,64042,1935-10-14,1945-06-03,Conservative (1867-1942),Constituency,High Park
9980,Anderson,Alexander James,64042,1935-10-14,1945-06-03,National Government,Constituency,High Park
867,Anderson,David,26037,1968-06-25,1972-07-24,Liberal Party of Canada,Constituency,Esquimalt--Saanich
867,Anderson,David,120983,1993-10-25,2006-01-22,Liberal Party of Canada,Constituency,Victoria
8641,Anderson,David,107294,2000-11-27,,Conservative Party of Canada,Constituency,Cypress Hills--Grasslands
8641,Anderson,David,107294,2000-11-27,,Canadian Reform Conservative Alliance,Constituency,Cypress Hills--Grasslands
4470,Anderson,Edna,7319,1988-11-21,1993-10-24,Progressive Conservative Party,Constituency,Simcoe Centre
118,Anderson,Hugh Alan,31166,1974-07-08,1979-05-21,Liberal Party of Canada,Constituency,Comox--Alberni
5387,Anderson,Raymond Elmer,111218,1949-06-27,1957-06-09,Liberal Party of Canada,Constituency,Norfolk
10261,Anderson,Robert King,108568,1917-12-17,1935-10-14,Conservative (1867-1942),Constituency,Halton
10261,Anderson,Robert King,108568,1917-12-17,1935-10-14,Unionist,Constituency,Halton
4143,Anderson,William,21416,1957-06-10,1961-06-06,Progressive Conservative Party,Constituency,Waterloo South
13443,Andras,Robert Knight,43427,1965-11-08,1979-05-21,Liberal Party of Canada,Constituency,Port Arthur
13443,Andras,Robert Knight,44995,1979-05-22,1980-02-17,Liberal Party of Canada,Constituency,Thunder Bay--Nipigon
2462,Andre,Harvie,90106,1972-10-30,1993-10-24,Progressive Conservative Party,Constituency,Calgary Centre
4282,Andres,William,78113,1974-07-08,1979-05-21,Liberal Party of Canada,Constituency,Lincoln
5028,Andrews,George William,104488,1917-12-17,1921-12-05,Independent,Constituency,Winnipeg Centre
5028,Andrews,George William,104488,1917-12-17,1921-12-05,Unionist (Liberal),Constituency,Winnipeg Centre
17267,Andrews,Scott,132065,2008-10-14,2015-10-18,Liberal Party of Canada,Constituency,Avalon
17267,Andrews,Scott,132065,2008-10-14,2015-10-18,Independent,Constituency,Avalon
93,André,Guy,75001,2004-06-28,2011-05-01,Bloc Québécois,Constituency,Berthier--Maskinongé
11603,Angers,Auguste Réal,121706,1880-02-14,1880-11-12,Conservative (1867-1942),Constituency,Montmorency
3033,Angers,Louis Charles Alphonse,58849,1896-01-27,1904-11-02,Liberal Party of Canada,Constituency,Charlevoix
14587,Anglin,Timothy Warren,118331,1867-09-20,1877-06-07,Liberal Party of Canada,Constituency,Gloucester
14587,Anglin,Timothy Warren,29021,1877-07-02,1882-06-19,Liberal Party of Canada,Constituency,Gloucester
11793,Anguish,Douglas Keith,30814,1980-02-18,1984-09-03,New Democratic Party,Constituency,The Battlefords--Meadow Lake
7131,Angus,Charlie,67580,2004-06-28,,New Democratic Party,Constituency,Timmins--James Bay
10565,Angus,Iain Francis,107036,1984-09-04,1993-10-24,New Democratic Party,Constituency,Thunder Bay--Atikokan
3158,Appleby,Stephen Burpee,67192,1873-09-18,1878-09-16,Liberal Party of Canada,Constituency,Carleton
12036,Applewhaite,Edward Turney,101381,1949-06-27,1957-06-09,Liberal Party of Canada,Constituency,Skeena
16084,Appolloni,Ursula,4870,1974-07-08,1979-05-21,Liberal Party of Canada,Constituency,York South
16084,Appolloni,Ursula,75155,1979-05-22,1984-09-03,Liberal Party of Canada,Constituency,York South--Weston
5156,Archambault,Joseph,9511,1917-12-17,1925-10-28,Liberal Party of Canada,Constituency,Chambly--Verchères
5156,Archambault,Joseph,9511,1917-12-17,1925-10-28,Opposition,Constituency,Chambly--Verchères
17029,Archambault,Joseph Éloi,99035,1900-01-18,1908-10-25,Liberal Party of Canada,Constituency,Berthier
12562,Archambault,Louis,116346,1867-09-20,1874-01-21,Liberal-Conservative,Constituency,L'Assomption
10428,Archibald,Adams George,16674,1869-09-09,1870-05-19,Liberal-Conservative,Constituency,Colchester
10428,Archibald,Adams George,247946,1888-08-15,1891-03-05,Liberal-Conservative,Constituency,Colchester
4677,Archibald,Cyril,51328,1872-10-12,1878-09-16,Liberal Party of Canada,Constituency,Stormont
3931,Archibald,Harry Grenfell,3079,1945-06-11,1949-06-26,Co-operative Commonwealth Federation,Constituency,Skeena
13227,Argue,Hazen Robert,44635,1945-06-11,1949-06-26,Co-operative Commonwealth Federation,Constituency,Wood Mountain
13227,Argue,Hazen Robert,25772,1949-06-27,1963-04-07,New Democratic Party,Constituency,Assiniboia
13227,Argue,Hazen Robert,25772,1949-06-27,1963-04-07,Co-operative Commonwealth Federation,Constituency,Assiniboia
13227,Argue,Hazen Robert,25772,1949-06-27,1963-04-07,Liberal Party of Canada,Constituency,Assiniboia
1352,Argue,Ira Eugene,33214,1917-12-17,1921-12-05,Unionist,Constituency,Swift Current
14392,Arkell,Thomas,14088,1878-09-17,1882-06-19,Liberal-Conservative,Constituency,Elgin East
13053,Armstrong,Ernest Frederick,67921,1925-10-29,1926-09-13,Conservative (1867-1942),Constituency,Timiskaming South
11540,Armstrong,Frederick Thomas,37146,1963-04-08,1965-11-07,Liberal Party of Canada,Constituency,Shelburne--Yarmouth--Clare
8017,Armstrong,James,114328,1882-06-20,1893-01-26,Liberal Party of Canada,Constituency,Middlesex South
16797,Armstrong,John Alexander Macdonald,12837,1911-09-21,1921-12-05,Unionist,Constituency,York North
16797,Armstrong,John Alexander Macdonald,12837,1911-09-21,1921-12-05,Conservative (1867-1942),Constituency,York North
4882,Armstrong,Joseph Elijah,70712,1904-02-16,1921-12-05,Conservative (1867-1942),Constituency,Lambton East
4882,Armstrong,Joseph Elijah,70712,1904-02-16,1921-12-05,Unionist,Constituency,Lambton East
4882,Armstrong,Joseph Elijah,93008,1925-10-29,1926-09-13,Conservative (1867-1942),Constituency,Lambton East
17761,Armstrong,Scott,139857,2009-11-09,2015-10-18,Conservative Party of Canada,Constituency,Cumberland--Colchester--Musquodoboit Valley
18443,Arnold,Mel,265520,2015-10-19,,Conservative Party of Canada,Constituency,North Okanagan--Shuswap
6009,Arrol,Ian MacLachlan,67143,1972-10-30,1974-07-07,Progressive Conservative Party,Constituency,York East
15753,Arsenault,Bona,53019,1945-06-11,1957-06-09,Independent,Constituency,Bonaventure
15753,Arsenault,Bona,53019,1945-06-11,1957-06-09,Liberal Party of Canada,Constituency,Bonaventure
10017,Arsenault,Nérée,87334,1957-06-10,1958-03-30,Progressive Conservative Party,Constituency,Bonaventure
7588,Arsenault,Telesphore,25667,1930-07-28,1935-10-13,Conservative (1867-1942),Constituency,Kent
6147,Arseneault,Guy H.,69906,1988-11-21,1989-12-28,Liberal Party of Canada,Constituency,Restigouche
6147,Arseneault,Guy H.,87863,1989-12-29,1997-06-01,Liberal Party of Canada,Constituency,Restigouche--Chaleur
18461,Arseneault,René,265582,2015-10-19,,Liberal Party of Canada,Constituency,Madawaska--Restigouche
2932,Arthur,André,15840,2006-01-23,2011-05-01,Independent,Constituency,Portneuf--Jacques-Cartier
11814,Arthurs,James,19483,1908-10-26,1935-07-19,Conservative (1867-1942),Constituency,Parry Sound
11814,Arthurs,James,19483,1908-10-26,1935-07-19,Unionist,Constituency,Parry Sound
18518,Arya,Chandra,265767,2015-10-19,,Liberal Party of Canada,Constituency,Nepean
3550,Ashbourne,Thomas Gordon William,107143,1949-06-27,1953-08-09,Liberal Party of Canada,Constituency,Grand Falls--White Bay
3550,Ashbourne,Thomas Gordon William,85783,1953-08-10,1958-03-30,Liberal Party of Canada,Constituency,Grand Falls--White Bay--Labrador
9811,Ashby,Patrick Harvey,18560,1945-06-11,1949-06-26,Social Credit Party of Canada,Constituency,Edmonton East
17264,Ashfield,Keith,132056,2008-10-14,2015-10-18,Conservative Party of Canada,Constituency,Fredericton
17260,Ashton,Niki,132044,2008-10-14,2015-10-18,New Democratic Party,Constituency,Churchill
17260,Ashton,Niki,266727,2015-10-19,,New Democratic Party,Constituency,Churchill--Keewatinook Aski
17880,Aspin,Jay,162612,2011-05-02,2015-10-18,Conservative Party of Canada,Constituency,Nipissing--Timiskaming
15735,Assad,Mark Joseph,69875,1988-11-21,1997-06-01,Liberal Party of Canada,Constituency,Gatineau--La Lièvre
15735,Assad,Mark Joseph,61052,1997-06-02,2004-06-27,Liberal Party of Canada,Constituency,Gatineau
8715,Assadourian,Sarkis,5624,1993-10-25,1997-06-01,Liberal Party of Canada,Constituency,Don Valley North
8715,Assadourian,Sarkis,67171,1997-06-02,2004-06-27,Liberal Party of Canada,Constituency,Brampton Centre
8218,Asselin,Edmund Tobin,62534,1962-06-18,1965-11-07,Liberal Party of Canada,Constituency,Notre-Dame-de-Grâce
3413,Asselin,Gérard,1142,1993-10-25,2004-06-27,Bloc Québécois,Constituency,Charlevoix
3413,Asselin,Gérard,107326,2004-06-28,2011-05-01,Bloc Québécois,Constituency,Manicouagan
8842,Asselin,Joseph Patrick Tobin,49145,1963-04-08,1968-06-24,Liberal Party of Canada,Constituency,Richmond--Wolfe
7900,Asselin,Martial,75466,1958-03-31,1962-06-17,Progressive Conservative Party,Constituency,Charlevoix
7900,Asselin,Martial,105082,1965-11-08,1972-08-31,Progressive Conservative Party,Constituency,Charlevoix
13267,Atamanenko,Alex,36091,2006-01-23,2015-10-18,New Democratic Party,Constituency,British Columbia Southern Interior
8898,Atkey,Ronald George,32908,1972-10-30,1974-07-07,Progressive Conservative Party,Constituency,St. Paul's
8898,Atkey,Ronald George,29543,1979-05-22,1980-02-17,Progressive Conservative Party,Constituency,St. Paul's
3709,Atkinson,Kenneth David,92009,1988-11-21,1993-10-24,Progressive Conservative Party,Constituency,St. Catharines
7143,Attewell,Bill,6565,1984-09-04,1988-11-20,Progressive Conservative Party,Constituency,Don Valley East
7143,Attewell,Bill,22884,1988-11-21,1989-12-28,Progressive Conservative Party,Constituency,Markham
7143,Attewell,Bill,67088,1989-12-29,1993-10-24,Progressive Conservative Party,Constituency,Markham--Whitchurch--Stouffville
17946,Aubin,Robert,162814,2011-05-02,,New Democratic Party,Constituency,Trois-Rivières
6557,Audet,Antoine,111920,1887-02-22,1891-03-04,Conservative (1867-1942),Constituency,Shefford
7118,Auger,Louis Mathias,9196,1926-09-14,1929-03-21,Liberal Party of Canada,Constituency,Prescott
15342,Auger,Michel,83641,1882-06-20,1887-02-21,Independent Liberal,Constituency,Shefford
3321,Augustine,Jean,92973,1993-10-25,2006-01-22,Liberal Party of Canada,Constituency,Etobicoke--Lakeshore
5290,Ault,Samuel,31312,1867-09-20,1872-10-11,Liberal-Conservative,Constituency,Stormont
3154,Authier,Hector,110965,1940-03-26,1945-06-10,Liberal Party of Canada,Constituency,Chapleau
16356,Avery,Melzar,41415,1902-01-15,1904-11-02,Conservative (1867-1942),Constituency,Addington
16356,Avery,Melzar,36037,1904-11-03,1908-10-25,Conservative (1867-1942),Constituency,Frontenac
13107,Axworthy,Chris,55463,1988-11-21,1997-06-01,New Democratic Party,Constituency,Saskatoon--Clark's Crossing
13107,Axworthy,Chris,83678,1997-06-02,1999-05-13,New Democratic Party,Constituency,Saskatoon--Rosetown--Biggar
9704,Axworthy,Lloyd,117979,1979-05-22,1988-11-20,Liberal Party of Canada,Constituency,Winnipeg--Fort Garry
9704,Axworthy,Lloyd,85062,1988-11-21,2000-11-26,Liberal Party of Canada,Constituency,Winnipeg South Centre
17910,Ayala,Paulina,162706,2011-05-02,2015-10-18,New Democratic Party,Constituency,Honoré-Mercier
3679,Aylesworth,Allen Bristol,36563,1905-11-22,1911-09-20,Liberal Party of Canada,Constituency,York North
5157,Aylesworth,Wilbert Ross,43083,1940-03-26,1953-08-09,National Government,Constituency,Frontenac--Addington
5157,Aylesworth,Wilbert Ross,43083,1940-03-26,1953-08-09,Progressive Conservative Party,Constituency,Frontenac--Addington
1109,Aylmer,Henry,95587,1874-01-22,1874-10-24,Liberal Party of Canada,Constituency,Richmond--Wolfe
1109,Aylmer,Henry,6642,1874-12-04,1878-09-16,Liberal Party of Canada,Constituency,Richmond--Wolfe
18598,Ayoub,Ramez,266019,2015-10-19,,Liberal Party of Canada,Constituency,Thérèse-De Blainville
1115,Baby,Louis François Georges,109368,1872-10-12,1874-11-06,Conservative (1867-1942),Constituency,Joliette
1115,Baby,Louis François Georges,22332,1874-12-10,1878-10-25,Conservative (1867-1942),Constituency,Joliette
1115,Baby,Louis François Georges,69002,1878-11-14,1880-10-28,Conservative (1867-1942),Constituency,Joliette
4778,Bachand,André,80968,1980-02-18,1984-09-03,Liberal Party of Canada,Constituency,Missisquoi
12856,Bachand,André,3455,1997-06-02,2004-06-27,Progressive Conservative Party,Constituency,Richmond--Arthabaska
12856,Bachand,André,3455,1997-06-02,2004-06-27,Independent,Constituency,Richmond--Arthabaska
5360,Bachand,Claude,87245,1993-10-25,2011-05-01,Bloc Québécois,Constituency,Saint-Jean
6497,Badanai,Hubert,38805,1958-03-31,1972-10-29,Liberal Party of Canada,Constituency,Fort William
18520,Badawey,Vance,265773,2015-10-19,,Liberal Party of Canada,Constituency,Niagara Centre
7528,Bagnell,Larry,93991,2000-11-27,2011-05-01,Liberal Party of Canada,Constituency,Yukon
7528,Bagnell,Larry,266048,2015-10-19,,Liberal Party of Canada,Constituency,Yukon
10593,Bailey,Roy H.,24655,1997-06-02,2004-06-27,Canadian Reform Conservative Alliance,Constituency,Souris--Moose Mountain
10593,Bailey,Roy H.,24655,1997-06-02,2004-06-27,Reform Party of Canada,Constituency,Souris--Moose Mountain
10593,Bailey,Roy H.,24655,1997-06-02,2004-06-27,Conservative Party of Canada,Constituency,Souris--Moose Mountain
9392,Bain,James William,105169,1883-12-27,1884-01-15,Conservative (1867-1942),Constituency,Soulanges
9392,Bain,James William,7307,1885-02-05,1891-03-04,Conservative (1867-1942),Constituency,Soulanges
9392,Bain,James William,117192,1892-02-03,1892-11-11,Conservative (1867-1942),Constituency,Soulanges
9392,Bain,James William,110103,1892-12-13,1896-06-22,Conservative (1867-1942),Constituency,Soulanges
6201,Bain,Thomas,107184,1872-10-12,1896-06-22,Liberal Party of Canada,Constituency,Wentworth North
6201,Bain,Thomas,86321,1896-06-23,1900-11-06,Liberal Party of Canada,Constituency,Wentworth South
14061,Bains,Navdeep Singh,44951,2004-06-28,2011-05-01,Liberal Party of Canada,Constituency,Mississauga--Brampton South
14061,Bains,Navdeep Singh,265761,2015-10-19,,Liberal Party of Canada,Constituency,Mississauga--Malton
16226,Baird,George Frederick,74858,1887-02-22,1887-11-24,Conservative (1867-1942),Constituency,Queen's
16226,Baird,George Frederick,30315,1888-01-18,1891-03-04,Conservative (1867-1942),Constituency,Queen's
16226,Baird,George Frederick,71847,1892-02-25,1896-06-22,Conservative (1867-1942),Constituency,Queen's
10886,Baird,John,45671,2006-01-23,2015-03-16,Conservative Party of Canada,Constituency,Ottawa West--Nepean
1865,Baker,Edgar Crow,81601,1882-06-20,1889-05-02,Conservative (1867-1942),Constituency,Victoria
15678,Baker,George,55188,1974-07-08,1988-11-20,Liberal Party of Canada,Constituency,Gander--Twillingate
15678,Baker,George,77399,1988-11-21,2002-03-25,Liberal Party of Canada,Constituency,Gander--Grand Falls
4633,Baker,George Barnard,1383,1870-07-05,1874-01-21,Liberal-Conservative,Constituency,Missisquoi
4633,Baker,George Barnard,13469,1878-09-17,1887-02-21,Liberal-Conservative,Constituency,Missisquoi
4633,Baker,George Barnard,116267,1891-03-05,1896-01-06,Liberal-Conservative,Constituency,Missisquoi
6527,Baker,George Harold,23776,1911-09-21,1916-06-02,Conservative (1867-1942),Constituency,Brome
6259,Baker,Loran Ellis,20687,1945-06-11,1949-06-26,Liberal Party of Canada,Constituency,Shelburne--Yarmouth--Clare
16684,Baker,Richard Langton,69278,1925-10-29,1926-09-13,Conservative (1867-1942),Constituency,Toronto Northeast
16684,Baker,Richard Langton,20990,1930-07-28,1935-10-13,Conservative (1867-1942),Constituency,Toronto Northeast
16684,Baker,Richard Langton,57564,1935-10-14,1940-03-26,Conservative (1867-1942),Constituency,Eglinton
11581,Baker,Walter David,62104,1972-10-30,1979-05-21,Progressive Conservative Party,Constituency,Grenville--Carleton
11581,Baker,Walter David,39395,1979-05-22,1983-11-13,Progressive Conservative Party,Constituency,Nepean--Carleton
6641,Bakopanos,Eleni,33520,1993-10-25,1997-06-01,Liberal Party of Canada,Constituency,Saint-Denis
6641,Bakopanos,Eleni,115187,1997-06-02,2006-01-22,Liberal Party of Canada,Constituency,Ahuntsic
2637,Balcer,Léon,41771,1949-06-27,1965-11-07,Independent,Constituency,Trois-Rivières
2637,Balcer,Léon,41771,1949-06-27,1965-11-07,Progressive Conservative Party,Constituency,Trois-Rivières
11980,Balcom,Samuel Rosborough,1175,1950-06-19,1957-06-09,Liberal Party of Canada,Constituency,Halifax
5693,Baldwin,Gerald William,57023,1958-03-31,1980-02-17,Progressive Conservative Party,Constituency,Peace River
13117,Baldwin,Willis Keith,41832,1917-12-17,1930-07-27,Liberal Party of Canada,Constituency,Stanstead
13117,Baldwin,Willis Keith,41832,1917-12-17,1930-07-27,Opposition,Constituency,Stanstead
620,Balfour,James,24498,1972-10-30,1979-05-21,Progressive Conservative Party,Constituency,Regina East
4252,Ball,Georges,35906,1900-11-07,1904-11-02,Conservative (1867-1942),Constituency,Nicolet
8765,Ball,Robert James,44035,1911-09-21,1917-12-16,Conservative (1867-1942),Constituency,Grey South
8765,Ball,Robert James,108094,1917-12-17,1921-12-05,Unionist,Constituency,Grey Southeast
5729,Ballantyne,Charles Colquhoun,27428,1917-12-17,1921-12-05,Unionist,Constituency,St. Lawrence--St. George
16092,Ballard,Harold Raymond,45343,1965-11-08,1968-06-24,Progressive Conservative Party,Constituency,Calgary South
8697,Bancroft,Leland Payson,111877,1921-12-06,1925-10-28,Progressive,Constituency,Selkirk
8697,Bancroft,Leland Payson,45143,1926-09-14,1930-07-28,Liberal Progressive,Constituency,Selkirk
